Item,Condition,Question
1,NOCON,"Can a table be big, round, dirty, and very heavy?"
1,CON,"Can a table be clean, round, dirty, and very heavy?"
2,NOCON,"Can a neighborhood be old, urban, dangerous and very diverse?"
2,CON,"Can a neighborhood be safe, urban, dangerous and very diverse?"
3,NOCON,"Can a cat be old, ginger, sick and very thin?"
3,CON,"Can a cat be healthy, ginger, sick and very thin?"
4,NOCON,"Can a towel be clean, white, wet and very thick?"
4,CON,"Can a towel be dry, white, wet and very thick?"
5,NOCON,"Can an egg be small, fresh, cracked and very fragile?"
5,CON,"Can an egg be whole, fresh, cracked and very fragile?"
6,NOCON,"Can a dog be tired, large, hungry and very loud?"
6,CON,"Can a dog be full, large, hungry and very loud?"
7,NOCON,"Can a road be narrow, long, curved and very steep?"
7,CON,"Can a road be straight, long, curved and very steep?"
8,NOCON,"Can a shop be small, local, open and very quiet?"
8,CON,"Can a shop be closed, local, open and very quiet?"
9,NOCON,"Can a soup be fresh, creamy, cold and very delicious?"
9,CON,"Can a soup be hot, creamy, cold and very delicious?"
10,NOCON,"Can a mountain be tall, green, far and very rocky?"
10,CON,"Can a mountain be nearby, green, far and very rocky?"
11,NOCON,"Can a fighter be short, young, weak and very handsome?"
11,CON,"Can a fighter be strong, young, weak and very handsome?"
12,NOCON,"Can an exam be long, formal, difficult and very detailed?"
12,CON,"Can an exam be easy, formal, difficult and very detailed?"
